source_group,reference_regime,hardness_axis,conditioning_key,timestep,mean_raw_l2,mean_clean_pair_l2,mean_clean_subject_l2,mean_roundtrip_ratio,n
dreambooth_hard_reference,hard_reference,crop,class_context,50,0.006520354248213557,-0.03346173879395163,-0.03346173879395163,1.3185050378649512,160
dreambooth_hard_reference,hard_reference,crop,class_context,200,0.008395655143168767,-0.03187724825553758,-0.03187724825553758,1.841908323406218,160
dreambooth_hard_reference,hard_reference,crop,class_context,500,-0.00197456000163204,-0.018547737649237485,-0.018547737649237485,2.623491966138809,160
dreambooth_hard_reference,hard_reference,crop,class_context,800,-0.0074780930305594125,-0.0063741203171737235,-0.0063741203171737235,2.4517831047431238,160
dreambooth_hard_reference,hard_reference,crop,class_context,999,-0.00707654343859986,-0.0025707461774448223,-0.0025707461774448223,1.0198981269998426,160
dreambooth_hard_reference,hard_reference,crop,null,50,0.0056752435529401875,-0.033394729977186136,-0.033394729977186136,1.2669977755079151,160
dreambooth_hard_reference,hard_reference,crop,null,200,0.007035161964735413,-0.0317530036799004,-0.0317530036799004,10.562174195766655,160
dreambooth_hard_reference,hard_reference,crop,null,500,-0.003229445841034842,-0.01883532698813927,-0.01883532698813927,1.6288804355887323,160
dreambooth_hard_reference,hard_reference,crop,null,800,-0.009389342833310355,-0.006862359232323849,-0.006862359232323849,2.88092784985874,160
dreambooth_hard_reference,hard_reference,crop,null,999,-0.007454759032963297,-0.0021767878022433866,-0.0021767878022433866,1.256494333255018,160
dreambooth_hard_reference,hard_reference,high_frequency,class,50,-0.053312034206948154,-0.09337747053932417,-0.09337747053932417,0.8964119878356189,80
dreambooth_hard_reference,hard_reference,high_frequency,class,200,-0.016149711506998267,-0.05644849908853193,-0.05644849908853193,1.473633702317665,80
dreambooth_hard_reference,hard_reference,high_frequency,class,500,0.013323628063260162,-0.003168176273022541,-0.003168176273022541,3.603426519921173,80
dreambooth_hard_reference,hard_reference,high_frequency,class,800,0.0035473420489152705,0.00435821544065591,0.00435821544065591,4.137469366309896,80
dreambooth_hard_reference,hard_reference,high_frequency,class,999,-0.004165233259024183,-0.00027952173003192003,-0.00027952173003192003,1.235201734326844,80
dreambooth_hard_reference,hard_reference,high_frequency,class_context,50,-0.05338937889369757,-0.09337147193586276,-0.09337147193586276,0.8969517511250233,80
dreambooth_hard_reference,hard_reference,high_frequency,class_context,200,-0.016219095259710936,-0.05649199865841729,-0.05649199865841729,1.471370738809648,80
dreambooth_hard_reference,hard_reference,high_frequency,class_context,500,0.01320635642688972,-0.0033668212207157225,-0.0033668212207157225,8.947464718752808,80
